Id,Category
1,2
2,1
3,4
4,3
5,1
6,2
7,4
8,2
9,0
10,1
11,4
12,5
13,0
14,0
15,0
16,5
17,1
18,8
19,2
20,5
21,4
22,2
23,5
24,2
25,6
26,8
27,1
28,2
29,6
30,0
31,6
32,4
33,5
34,2
35,6
36,7
37,5
38,1
39,2
40,0
41,0
42,7
43,3
44,0
45,3
46,7
47,7
48,2
49,2
50,6
51,7
52,8
53,3
54,1
55,5
56,2
57,1
58,4
59,0
60,6
61,2
62,3
63,7
64,0
65,6
66,2
67,2
68,7
69,4
70,0
71,8
72,4
73,7
74,0
75,1
76,3
77,7
78,8
79,1
80,5
81,8
82,7
83,5
84,6
85,1
86,3
87,5
88,2
89,7
90,4
91,4
92,8
93,6
94,5
95,4
96,7
97,4
98,7
99,5
100,2
101,4
102,0
103,7
104,0
105,4
106,0
107,1
108,6
109,5
110,7
111,4
112,3
113,8
114,1
115,6
116,5
117,4
118,3
119,4
120,7
121,3
122,7
123,2
124,4
125,0
126,3
127,8
128,8
129,4
130,3
131,0
132,6
133,1
134,3
135,8
136,1
137,8
138,2
139,2
140,6
141,3
142,2
143,1
144,3
145,1
146,6
147,3
148,8
149,1
150,8
151,2
152,0
153,6
154,7
155,8
156,5
157,4
158,7
159,4
160,2
161,8
162,4
163,6
164,3
165,3
166,0
167,5
168,0
169,4
170,6
171,5
172,7
173,6
174,2
175,0
176,8
177,7
178,8
179,8
180,1
181,8
182,6
183,7
184,6
185,5
186,1
187,1
188,3
189,5
190,3
191,0
192,2
193,0
194,8
195,0
196,3
197,3
198,1
199,4
200,0
201,3
202,2
203,6
204,5
205,3
206,7
207,7
208,6
209,8
210,3
211,8
212,0
213,4
214,8
215,1
216,6
217,1
218,5
219,8
220,5
221,4
222,1
223,1
224,7
225,8
226,3
227,7
228,4
229,1
230,4
231,3
232,1
233,3
234,3
235,6
236,3
237,6
238,2
239,7
240,6
241,3
242,0
243,3
244,2
245,2
246,0
247,1
248,3
249,5
250,4
251,6
252,7
253,1
254,0
255,8
256,8
257,7
258,0
259,6
260,1
261,6
262,2
263,7
264,0
265,6
266,6
267,0
268,6
269,0
270,2
271,4
272,7
273,4
274,5
275,0
276,5
277,4
278,7
279,8
280,6
281,2
282,7
283,7
284,7
285,1
286,4
287,4
288,7
289,0
290,5
291,7
292,7
293,8
294,4
295,0
296,3
297,6
298,6
299,4
300,6
301,2
302,1
303,6
304,0
305,3
306,5
307,8
308,3
309,1
310,7
311,1
312,0
313,5
314,7
315,5
316,3
317,8
318,8
319,4
320,7
321,1
322,6
323,8
324,7
325,6
326,8
327,2
328,2
329,1
330,7
331,6
332,4
333,4
334,4
335,5
336,5
337,5
338,5
339,2
340,7
341,1
342,2
343,8
344,6
345,4
346,8
347,6
348,7
349,4
350,4
351,3
352,5
353,1
354,1
355,7
356,7
357,0
358,5
359,8
360,2
361,7
362,8
363,4
364,7
365,4
366,0
367,7
368,3
369,8
370,8
371,1
372,2
373,6
374,2
375,4
376,3
377,0
378,1
379,3
380,0
381,7
382,3
383,7
384,6
385,0
386,7
387,4
388,4
389,8
390,6
391,6
392,2
393,3
394,1
395,3
396,1
397,5
398,1
399,5
400,8
401,1
402,8
403,5
404,8
405,0
406,7
407,0
408,0
409,8
410,5
411,3
412,4
413,6
414,5
415,7
416,2
417,4
418,7
419,6
420,8
421,1
422,0
423,5
424,1
425,0
426,0
427,8
428,8
429,4
430,1
431,0
432,7
433,3
434,8
435,2
436,2
437,1
438,8
439,2
440,5
441,2
442,0
443,4
444,6
445,1
446,4
447,3
448,3
449,7
450,8
451,0
452,0
453,3
454,5
455,5
456,7
457,6
458,7
459,3
460,4
461,0
462,3
463,4
464,1
465,6
466,4
467,3
468,4
469,5
470,6
471,8
472,6
473,2
474,3
475,7
476,7
477,7
478,5
479,0
480,4
481,1
482,1
483,5
484,0
485,6
486,8
487,6
488,7
489,8
490,2
491,3
492,7
493,8
494,0
495,3
496,0
497,1
498,3
499,4
500,8
501,1
502,3
503,8
504,8
505,2
506,8
507,7
508,2
509,7
510,3
511,2
512,7
513,3
514,4
515,2
516,4
517,3
518,0
519,4
520,4
521,1
522,0
523,0
524,1
525,7
526,3
527,7
528,0
529,1
530,4
531,2
532,0
533,5
534,0
535,1
536,0
537,6
538,6
539,3
540,4
541,4
542,3
543,0
544,1
545,5
546,7
547,5
548,2
549,6
550,0
551,0
552,2
553,7
554,3
555,6
556,4
557,5
558,7
559,1
560,2
561,4
562,4
563,3
564,7
565,5
566,1
567,8
568,3
569,1
570,8
571,4
572,7
573,3
574,2
575,2
576,0
577,6
578,6
579,6
580,7
581,4
582,7
583,2
584,3
585,4
586,2
587,1
588,4
589,8
590,1
591,2
592,1
593,4
594,6
595,5
596,7
597,6
598,5
599,2
600,5
601,1
602,4
603,5
604,2
605,1
606,8
607,2
608,2
609,4
610,0
611,7
612,6
613,2
614,4
615,6
616,7
617,4
618,0
619,5
620,4
621,3
622,0
623,3
624,1
625,1
626,8
627,1
628,4
629,5
630,6
631,6
632,8
633,4
634,3
635,1
636,0
637,6
638,8
639,1
640,2
641,7
642,6
643,0
644,0
645,1
646,2
647,5
648,5
649,0
650,6
651,7
652,6
653,0
654,5
655,4
656,4
657,3
658,8
659,2
660,8
661,8
662,1
663,2
664,8
665,2
666,5
667,0
668,8
669,1
670,1
671,2
672,6
673,4
674,1
675,0
676,0
677,2
678,4
679,6
680,3
681,6
682,8
683,4
684,0
685,7
686,5
687,7
688,1
689,8
690,1
691,3
692,8
693,8
694,8
695,5
696,4
697,2
698,4
699,6
700,5
701,7
702,1
703,4
704,7
705,2
706,3
707,2
708,4
709,7
710,0
711,0
712,6
713,6
714,3
715,1
716,6
717,1
718,5
719,3
720,2
721,0
722,4
723,6
724,0
725,0
726,8
727,8
728,8
729,8
730,2
731,8
732,8
733,3
734,7
735,0
736,7
737,5
738,7
739,2
740,1
741,0
742,3
743,6
744,0
745,2
746,5
747,4
748,3
749,8
750,0
751,4
752,2
753,8
754,5
755,2
756,0
757,7
758,2
759,5
760,8
761,0
762,5
763,3
764,2
765,8
766,7
767,7
768,3
769,2
770,1
771,6
772,5
773,2
774,7
775,3
776,2
777,8
778,3
779,6
780,2
781,6
782,7
783,6
784,2
785,4
786,3
787,8
788,1
789,8
790,8
791,6
792,0
793,8
794,8
795,2
796,8
797,7
798,6
799,7
800,1
801,0
802,5
803,2
804,6
805,5
806,0
807,8
808,2
809,4
810,3
811,3
812,5
813,7
814,1
815,7
816,7
817,2
818,3
819,3
820,1
821,3
822,3
823,4
824,3
825,1
826,3
827,6
828,3
829,2
830,2
831,7
832,4
833,5
834,3
835,8
836,6
837,5
838,0
839,5
840,6
841,2
842,0
843,1
844,4
845,7
846,2
847,0
848,6
849,0
850,6
851,5
852,7
853,3
854,4
855,2
856,4
857,0
858,7
859,0
860,3
861,4
862,6
863,6
864,0
865,5
866,7
867,0
868,6
869,2
870,7
871,1
872,0
873,5
874,2
875,7
876,6
877,6
878,0
879,1
880,8
881,3
882,5
883,0
884,1
885,8
886,5
887,1
888,6
889,2
890,7
891,0
892,5
893,6
894,1
895,5
896,8
897,1
898,5
899,2
900,1
901,6
902,3
903,1
904,3
905,8
906,1
907,5
908,0
909,2
910,1
911,3
912,4
913,0
914,0
915,2
916,6
917,1
918,6
919,5
920,8
921,7
922,7
923,3
924,6
925,2
926,1
927,8
928,8
929,1
930,2
931,5
932,4
933,7
934,5
935,1
936,0
937,2
938,3
939,8
940,3
941,3
942,8
943,5
944,8
945,7
946,6
947,3
948,6
949,7
950,8
951,8
952,5
953,2
954,8
955,1
956,0
957,0
958,1
959,8
960,1
961,1
962,0
963,5
964,0
965,4
966,8
967,8
968,3
969,0
970,2
971,4
972,5
973,6
974,3
975,2
976,7
977,4
978,8
979,6
980,2
981,5
982,1
983,5
984,6
985,8
986,3
987,4
988,3
989,5
990,0
991,2
992,1
993,2
994,8
995,1
996,0
997,2
998,8
999,8
1000,3
1001,5
1002,5
1003,8
1004,5
1005,1
1006,0
1007,2
1008,2
1009,7
1010,5
1011,7
1012,0
1013,2
1014,8
1015,4
1016,2
1017,6
1018,1
1019,0
1020,0
1021,8
1022,5
1023,1
1024,6
1025,7
1026,0
1027,1
1028,3
1029,5
1030,6
1031,7
1032,1
1033,6
1034,5
1035,8
1036,8
1037,1
1038,5
1039,0
1040,1
1041,2
1042,2
1043,8
1044,1
1045,1
1046,8
1047,7
1048,3
1049,1
1050,1
1051,5
1052,1
1053,7
1054,4
1055,1
1056,3
1057,3
1058,6
1059,6
1060,8
1061,7
1062,5
1063,5
1064,6
1065,6
1066,6
1067,7
1068,2
1069,4
1070,7
1071,6
1072,3
1073,1
1074,4
1075,6
1076,4
1077,4
1078,2
1079,5
1080,4
1081,3
1082,7
