Id,Category
1,4
2,4
3,4
4,3
5,4
6,8
7,4
8,5
9,6
10,1
11,8
12,5
13,0
14,4
15,5
16,2
17,2
18,7
19,3
20,8
21,1
22,0
23,5
24,5
25,1
26,1
27,6
28,1
29,6
30,5
31,3
32,7
33,1
34,5
35,5
36,0
37,1
38,8
39,7
40,4
41,8
42,6
43,5
44,7
45,8
46,8
47,5
48,1
49,7
50,2
51,1
52,2
53,4
54,4
55,8
56,7
57,2
58,8
59,4
60,2
61,0
62,8
63,8
64,7
65,1
66,0
67,7
68,8
69,6
70,2
71,3
72,6
73,2
74,2
75,4
76,3
77,5
78,4
79,7
80,4
81,1
82,1
83,8
84,4
85,0
86,5
87,6
88,8
89,6
90,1
91,7
92,5
93,4
94,7
95,4
96,4
97,6
98,2
99,5
100,2
101,5
102,0
103,1
104,6
105,7
106,3
107,4
108,8
109,4
110,5
111,2
112,5
113,7
114,3
115,3
116,6
117,5
118,8
119,7
120,3
121,7
122,3
123,5
124,0
125,6
126,8
127,5
128,4
129,0
130,6
131,1
132,2
133,5
134,8
135,0
136,4
137,7
138,1
139,5
140,3
141,1
142,0
143,4
144,8
145,4
146,4
147,4
148,5
149,4
150,4
151,0
152,3
153,3
154,5
155,6
156,7
157,6
158,8
159,6
160,3
161,4
162,0
163,0
164,7
165,6
166,2
167,4
168,3
169,5
170,0
171,4
172,4
173,7
174,3
175,6
176,8
177,6
178,5
179,5
180,7
181,5
182,3
183,4
184,5
185,1
186,7
187,0
188,3
189,3
190,8
191,2
192,2
193,4
194,0
195,7
196,6
197,8
198,6
199,1
200,5
201,8
202,3
203,0
204,8
205,8
206,7
207,6
208,6
209,1
210,2
211,7
212,5
213,0
214,4
215,1
216,3
217,3
218,7
219,4
220,8
221,4
222,8
223,2
224,7
225,1
226,1
227,6
228,3
229,4
230,8
231,2
232,5
233,6
234,0
235,2
236,6
237,7
238,3
239,4
240,0
241,4
242,0
243,1
244,3
245,2
246,1
247,7
248,0
249,1
250,1
251,5
252,6
253,8
254,3
255,2
256,8
257,3
258,5
259,5
260,1
261,8
262,6
263,3
264,3
265,6
266,7
267,5
268,6
269,2
270,5
271,6
272,2
273,1
274,7
275,1
276,0
277,0
278,6
279,3
280,0
281,7
282,6
283,4
284,1
285,6
286,3
287,5
288,7
289,7
290,1
291,3
292,3
293,7
294,1
295,8
296,8
297,4
298,3
299,5
300,3
301,1
302,3
303,8
304,2
305,6
306,8
307,3
308,5
309,2
310,3
311,1
312,8
313,5
314,5
315,3
316,6
317,3
318,4
319,2
320,0
321,0
322,4
323,4
324,6
325,8
326,0
327,7
328,8
329,0
330,2
331,1
332,2
333,2
334,1
335,1
336,6
337,7
338,7
339,2
340,5
341,8
342,2
343,2
344,2
345,8
346,0
347,0
348,1
349,6
350,7
351,4
352,7
353,4
354,5
355,6
356,3
357,3
358,2
359,7
360,1
361,5
362,0
363,8
364,1
365,6
366,4
367,2
368,2
369,6
370,6
371,0
372,8
